Step: 0 | epoch: 0 | loss: 3.6781535148620605 | lr: 9.99999999e-05
Step: 20 | epoch: 0 | loss: 3.5578057765960693 | lr: 0.0020999999979
Step: 40 | epoch: 0 | loss: 3.465725898742676 | lr: 0.0040999999959
Step: 60 | epoch: 0 | loss: 3.39393949508667 | lr: 0.0060999999939
Step: 80 | epoch: 0 | loss: 3.441427707672119 | lr: 0.0080999999919
Step: 100 | epoch: 0 | loss: 2.9453492164611816 | lr: 0.0100999999899
Step: 120 | epoch: 0 | loss: 3.2106246948242188 | lr: 0.012099999987899998
Step: 140 | epoch: 0 | loss: 3.101654052734375 | lr: 0.0140999999859
Step: 160 | epoch: 0 | loss: 3.1475820541381836 | lr: 0.0160999999839
Step: 180 | epoch: 0 | loss: 3.3194284439086914 | lr: 0.018099999981899997
Step: 200 | epoch: 0 | loss: 3.343064546585083 | lr: 0.0200999999799
Step: 220 | epoch: 0 | loss: 3.400191307067871 | lr: 0.0220999999779
Step: 240 | epoch: 0 | loss: 3.2567970752716064 | lr: 0.024099999975899997
Step: 260 | epoch: 0 | loss: 3.3208746910095215 | lr: 0.026099999973899998
Step: 280 | epoch: 0 | loss: 3.1118245124816895 | lr: 0.028099999971900002
Step: 300 | epoch: 0 | loss: 3.118009567260742 | lr: 0.030099999969899996
Step: 320 | epoch: 0 | loss: 3.217742919921875 | lr: 0.0320999999679
Step: 340 | epoch: 0 | loss: 2.9211816787719727 | lr: 0.0340999999659
Step: 360 | epoch: 0 | loss: 3.0285720825195312 | lr: 0.036099999963899995
Step: 380 | epoch: 0 | loss: 2.933382987976074 | lr: 0.0380999999619
Step: 400 | epoch: 0 | loss: 3.281426429748535 | lr: 0.0400999999599
Step: 420 | epoch: 0 | loss: 3.236135721206665 | lr: 0.042099999957899994
Step: 440 | epoch: 0 | loss: 3.1114416122436523 | lr: 0.0440999999559
Step: 460 | epoch: 0 | loss: 3.1539852619171143 | lr: 0.046099999953899996
Step: 469 | epoch: 0 | time_per_epoch: 27.67490029335022 | train_acc: 0.12388318442458994 | avg_loss_per_ep: 3.2337495197873634
Step: 469 | epoch: 0 | val_loss: 3.065219168479626 | val_acc: 0.14808135457369
Saved ./runs/kwt1_finetune_mean_self_train/best.pth with accuracy 0.14808135457369.
Step: 480 | epoch: 1 | loss: 3.1503946781158447 | lr: 0.048099999951899994
Step: 500 | epoch: 1 | loss: 2.9902496337890625 | lr: 0.0500999999499
Step: 520 | epoch: 1 | loss: 3.326004981994629 | lr: 0.052099999947899996
Step: 540 | epoch: 1 | loss: 3.3276400566101074 | lr: 0.0540999999459
Step: 560 | epoch: 1 | loss: 3.280179023742676 | lr: 0.0560999999439
Step: 580 | epoch: 1 | loss: 3.240964412689209 | lr: 0.05809999994189999
Step: 600 | epoch: 1 | loss: 3.2148191928863525 | lr: 0.06009999993989999
Step: 620 | epoch: 1 | loss: 3.1762356758117676 | lr: 0.0620999999379
Step: 640 | epoch: 1 | loss: 3.1852169036865234 | lr: 0.0640999999359
Step: 660 | epoch: 1 | loss: 3.050992012023926 | lr: 0.06609999993389999
Step: 680 | epoch: 1 | loss: 3.2373533248901367 | lr: 0.0680999999319
Step: 700 | epoch: 1 | loss: 3.0681962966918945 | lr: 0.0700999999299
Step: 720 | epoch: 1 | loss: 3.0859365463256836 | lr: 0.07209999992789999
